,i,j,k,method,bs,r,sample,p,event,count
0,100,10,52428,tiled,100000,0.12216773489967918,1,CFG_LL_TLB,L1-dcache-loads,2673809630
1,100,10,52428,tiled,100000,0.12216773489967918,1,CFG_LL_TLB,cache-misses,34449171
2,100,10,52428,tiled,100000,0.12216773489967918,1,CFG_LL_TLB,cache-references,72692162
3,100,10,52428,tiled,100000,0.12216773489967918,1,CFG_LL_TLB,context-switches,0
4,100,10,52428,tiled,100000,0.12216773489967918,1,CFG_LL_TLB,cpu-migrations,0
5,100,10,52428,tiled,100000,0.12216773489967918,1,CFG_LL_TLB,dTLB-load-misses,22653722
6,100,10,52428,tiled,100000,0.12216773489967918,1,CFG_LL_TLB,page-faults,0
7,100,10,52428,tiled,100000,0.12216773489967918,1,CFG_LL_TLB,task-clock,2347561616
8,100,10,52428,tiled,100000,0.04961947603002903,1,CFG_LL_TLB,L1-dcache-loads,2673722195
9,100,10,52428,tiled,100000,0.04961947603002903,1,CFG_LL_TLB,cache-misses,28382322
10,100,10,52428,tiled,100000,0.04961947603002903,1,CFG_LL_TLB,cache-references,57056699
11,100,10,52428,tiled,100000,0.04961947603002903,1,CFG_LL_TLB,context-switches,0
12,100,10,52428,tiled,100000,0.04961947603002903,1,CFG_LL_TLB,cpu-migrations,0
13,100,10,52428,tiled,100000,0.04961947603002903,1,CFG_LL_TLB,dTLB-load-misses,16350163
14,100,10,52428,tiled,100000,0.04961947603002903,1,CFG_LL_TLB,page-faults,0
15,100,10,52428,tiled,100000,0.04961947603002903,1,CFG_LL_TLB,task-clock,2162828206
16,100,10,52428,tiled,100000,0.0013503140378698735,0,CFG_LL_TLB,L1-dcache-loads,2673736890
17,100,10,52428,tiled,100000,0.0013503140378698735,0,CFG_LL_TLB,cache-misses,26340028
18,100,10,52428,tiled,100000,0.0013503140378698735,0,CFG_LL_TLB,cache-references,43482239
19,100,10,52428,tiled,100000,0.0013503140378698735,0,CFG_LL_TLB,context-switches,0
20,100,10,52428,tiled,100000,0.0013503140378698735,0,CFG_LL_TLB,cpu-migrations,0
21,100,10,52428,tiled,100000,0.0013503140378698735,0,CFG_LL_TLB,dTLB-load-misses,10581880
22,100,10,52428,tiled,100000,0.0013503140378698735,0,CFG_LL_TLB,page-faults,0
23,100,10,52428,tiled,100000,0.0013503140378698735,0,CFG_LL_TLB,task-clock,2099589086
24,100,10,52428,tiled,100000,0.0013503140378698735,1,CFG_LL_TLB,L1-dcache-loads,2673768630
25,100,10,52428,tiled,100000,0.0013503140378698735,1,CFG_LL_TLB,cache-misses,25858989
26,100,10,52428,tiled,100000,0.0013503140378698735,1,CFG_LL_TLB,cache-references,42147122
27,100,10,52428,tiled,100000,0.0013503140378698735,1,CFG_LL_TLB,context-switches,0
28,100,10,52428,tiled,100000,0.0013503140378698735,1,CFG_LL_TLB,cpu-migrations,0
29,100,10,52428,tiled,100000,0.0013503140378698735,1,CFG_LL_TLB,dTLB-load-misses,10586554
30,100,10,52428,tiled,100000,0.0013503140378698735,1,CFG_LL_TLB,page-faults,0
31,100,10,52428,tiled,100000,0.0013503140378698735,1,CFG_LL_TLB,task-clock,2098031100
32,100,10,52428,tiled,100000,0.0024620924014946257,1,CFG_LL_TLB,L1-dcache-loads,2673780676
33,100,10,52428,tiled,100000,0.0024620924014946257,1,CFG_LL_TLB,cache-misses,26501569
34,100,10,52428,tiled,100000,0.0024620924014946257,1,CFG_LL_TLB,cache-references,43410709
35,100,10,52428,tiled,100000,0.0024620924014946257,1,CFG_LL_TLB,context-switches,0
36,100,10,52428,tiled,100000,0.0024620924014946257,1,CFG_LL_TLB,cpu-migrations,0
37,100,10,52428,tiled,100000,0.0024620924014946257,1,CFG_LL_TLB,dTLB-load-misses,10764760
38,100,10,52428,tiled,100000,0.0024620924014946257,1,CFG_LL_TLB,page-faults,0
39,100,10,52428,tiled,100000,0.0024620924014946257,1,CFG_LL_TLB,task-clock,2126862825
40,100,10,52428,tiled,100000,1.0,0,CFG_LL_TLB,L1-dcache-loads,2673726264
41,100,10,52428,tiled,100000,1.0,0,CFG_LL_TLB,cache-misses,51773994
42,100,10,52428,tiled,100000,1.0,0,CFG_LL_TLB,cache-references,88823496
43,100,10,52428,tiled,100000,1.0,0,CFG_LL_TLB,context-switches,0
44,100,10,52428,tiled,100000,1.0,0,CFG_LL_TLB,cpu-migrations,0
45,100,10,52428,tiled,100000,1.0,0,CFG_LL_TLB,dTLB-load-misses,51285072
46,100,10,52428,tiled,100000,1.0,0,CFG_LL_TLB,page-faults,0
47,100,10,52428,tiled,100000,1.0,0,CFG_LL_TLB,task-clock,2648347025
48,100,10,52428,tiled,100000,0.011052951411260215,0,CFG_LL_TLB,L1-dcache-loads,2673593679
49,100,10,52428,tiled,100000,0.011052951411260215,0,CFG_LL_TLB,cache-misses,27099134
50,100,10,52428,tiled,100000,0.011052951411260215,0,CFG_LL_TLB,cache-references,46117681
51,100,10,52428,tiled,100000,0.011052951411260215,0,CFG_LL_TLB,context-switches,0
52,100,10,52428,tiled,100000,0.011052951411260215,0,CFG_LL_TLB,cpu-migrations,0
53,100,10,52428,tiled,100000,0.011052951411260215,0,CFG_LL_TLB,dTLB-load-misses,12049706
54,100,10,52428,tiled,100000,0.011052951411260215,0,CFG_LL_TLB,page-faults,0
55,100,10,52428,tiled,100000,0.011052951411260215,0,CFG_LL_TLB,task-clock,2127162822
56,100,10,52428,tiled,100000,0.008185467307069028,1,CFG_LL_TLB,L1-dcache-loads,2673733038
57,100,10,52428,tiled,100000,0.008185467307069028,1,CFG_LL_TLB,cache-misses,25117255
58,100,10,52428,tiled,100000,0.008185467307069028,1,CFG_LL_TLB,cache-references,44094917
59,100,10,52428,tiled,100000,0.008185467307069028,1,CFG_LL_TLB,context-switches,0
60,100,10,52428,tiled,100000,0.008185467307069028,1,CFG_LL_TLB,cpu-migrations,0
61,100,10,52428,tiled,100000,0.008185467307069028,1,CFG_LL_TLB,dTLB-load-misses,11655867
62,100,10,52428,tiled,100000,0.008185467307069028,1,CFG_LL_TLB,page-faults,0
63,100,10,52428,tiled,100000,0.008185467307069028,1,CFG_LL_TLB,task-clock,2088873596
64,100,10,52428,tiled,100000,0.7405684692262434,0,CFG_LL_TLB,L1-dcache-loads,2673799424
65,100,10,52428,tiled,100000,0.7405684692262434,0,CFG_LL_TLB,cache-misses,52389405
66,100,10,52428,tiled,100000,0.7405684692262434,0,CFG_LL_TLB,cache-references,89152533
67,100,10,52428,tiled,100000,0.7405684692262434,0,CFG_LL_TLB,context-switches,0
68,100,10,52428,tiled,100000,0.7405684692262434,0,CFG_LL_TLB,cpu-migrations,0
69,100,10,52428,tiled,100000,0.7405684692262434,0,CFG_LL_TLB,dTLB-load-misses,49239254
70,100,10,52428,tiled,100000,0.7405684692262434,0,CFG_LL_TLB,page-faults,0
71,100,10,52428,tiled,100000,0.7405684692262434,0,CFG_LL_TLB,task-clock,2685384507
72,100,10,52428,tiled,100000,0.03674661940736688,0,CFG_LL_TLB,L1-dcache-loads,2673822371
73,100,10,52428,tiled,100000,0.03674661940736688,0,CFG_LL_TLB,cache-misses,27201836
74,100,10,52428,tiled,100000,0.03674661940736688,0,CFG_LL_TLB,cache-references,53684334
75,100,10,52428,tiled,100000,0.03674661940736688,0,CFG_LL_TLB,context-switches,0
76,100,10,52428,tiled,100000,0.03674661940736688,0,CFG_LL_TLB,cpu-migrations,0
77,100,10,52428,tiled,100000,0.03674661940736688,0,CFG_LL_TLB,dTLB-load-misses,15042865
78,100,10,52428,tiled,100000,0.03674661940736688,0,CFG_LL_TLB,page-faults,0
79,100,10,52428,tiled,100000,0.03674661940736688,0,CFG_LL_TLB,task-clock,2144160080
80,100,10,52428,tiled,100000,0.0018233480008684403,1,CFG_LL_TLB,L1-dcache-loads,2673819220
81,100,10,52428,tiled,100000,0.0018233480008684403,1,CFG_LL_TLB,cache-misses,26772879
82,100,10,52428,tiled,100000,0.0018233480008684403,1,CFG_LL_TLB,cache-references,43934885
83,100,10,52428,tiled,100000,0.0018233480008684403,1,CFG_LL_TLB,context-switches,0
84,100,10,52428,tiled,100000,0.0018233480008684403,1,CFG_LL_TLB,cpu-migrations,0
85,100,10,52428,tiled,100000,0.0018233480008684403,1,CFG_LL_TLB,dTLB-load-misses,10664240
86,100,10,52428,tiled,100000,0.0018233480008684403,1,CFG_LL_TLB,page-faults,0
87,100,10,52428,tiled,100000,0.0018233480008684403,1,CFG_LL_TLB,task-clock,2129013104
88,100,10,52428,tiled,100000,0.027213387683753074,0,CFG_LL_TLB,L1-dcache-loads,2673705098
89,100,10,52428,tiled,100000,0.027213387683753074,0,CFG_LL_TLB,cache-misses,26115471
90,100,10,52428,tiled,100000,0.027213387683753074,0,CFG_LL_TLB,cache-references,49997898
91,100,10,52428,tiled,100000,0.027213387683753074,0,CFG_LL_TLB,context-switches,0
92,100,10,52428,tiled,100000,0.027213387683753074,0,CFG_LL_TLB,cpu-migrations,0
93,100,10,52428,tiled,100000,0.027213387683753074,0,CFG_LL_TLB,dTLB-load-misses,14016923
94,100,10,52428,tiled,100000,0.027213387683753074,0,CFG_LL_TLB,page-faults,0
95,100,10,52428,tiled,100000,0.027213387683753074,0,CFG_LL_TLB,task-clock,2150088047
96,100,10,52428,tiled,100000,0.014924955450518291,1,CFG_LL_TLB,L1-dcache-loads,2673725960
97,100,10,52428,tiled,100000,0.014924955450518291,1,CFG_LL_TLB,cache-misses,26235705
98,100,10,52428,tiled,100000,0.014924955450518291,1,CFG_LL_TLB,cache-references,48010855
99,100,10,52428,tiled,100000,0.014924955450518291,1,CFG_LL_TLB,context-switches,0
100,100,10,52428,tiled,100000,0.014924955450518291,1,CFG_LL_TLB,cpu-migrations,0
101,100,10,52428,tiled,100000,0.014924955450518291,1,CFG_LL_TLB,dTLB-load-misses,12584368
102,100,10,52428,tiled,100000,0.014924955450518291,1,CFG_LL_TLB,page-faults,0
103,100,10,52428,tiled,100000,0.014924955450518291,1,CFG_LL_TLB,task-clock,2101577648
104,100,10,52428,tiled,100000,0.09047357242349298,1,CFG_LL_TLB,L1-dcache-loads,2673830597
105,100,10,52428,tiled,100000,0.09047357242349298,1,CFG_LL_TLB,cache-misses,32044082
106,100,10,52428,tiled,100000,0.09047357242349298,1,CFG_LL_TLB,cache-references,68688911
107,100,10,52428,tiled,100000,0.09047357242349298,1,CFG_LL_TLB,context-switches,0
108,100,10,52428,tiled,100000,0.09047357242349298,1,CFG_LL_TLB,cpu-migrations,0
109,100,10,52428,tiled,100000,0.09047357242349298,1,CFG_LL_TLB,dTLB-load-misses,20074946
110,100,10,52428,tiled,100000,0.09047357242349298,1,CFG_LL_TLB,page-faults,0
111,100,10,52428,tiled,100000,0.09047357242349298,1,CFG_LL_TLB,task-clock,2235829624
112,100,10,52428,tiled,100000,0.0018233480008684403,0,CFG_LL_TLB,L1-dcache-loads,2673826576
113,100,10,52428,tiled,100000,0.0018233480008684403,0,CFG_LL_TLB,cache-misses,26536927
114,100,10,52428,tiled,100000,0.0018233480008684403,0,CFG_LL_TLB,cache-references,44614965
115,100,10,52428,tiled,100000,0.0018233480008684403,0,CFG_LL_TLB,context-switches,0
116,100,10,52428,tiled,100000,0.0018233480008684403,0,CFG_LL_TLB,cpu-migrations,0
117,100,10,52428,tiled,100000,0.0018233480008684403,0,CFG_LL_TLB,dTLB-load-misses,10662927
118,100,10,52428,tiled,100000,0.0018233480008684403,0,CFG_LL_TLB,page-faults,0
119,100,10,52428,tiled,100000,0.0018233480008684403,0,CFG_LL_TLB,task-clock,2097151711
120,100,10,52428,tiled,100000,0.006061898993497572,1,CFG_LL_TLB,L1-dcache-loads,2673636457
121,100,10,52428,tiled,100000,0.006061898993497572,1,CFG_LL_TLB,cache-misses,26415247
122,100,10,52428,tiled,100000,0.006061898993497572,1,CFG_LL_TLB,cache-references,47014073
123,100,10,52428,tiled,100000,0.006061898993497572,1,CFG_LL_TLB,context-switches,0
124,100,10,52428,tiled,100000,0.006061898993497572,1,CFG_LL_TLB,cpu-migrations,0
125,100,10,52428,tiled,100000,0.006061898993497572,1,CFG_LL_TLB,dTLB-load-misses,11337714
126,100,10,52428,tiled,100000,0.006061898993497572,1,CFG_LL_TLB,page-faults,0
127,100,10,52428,tiled,100000,0.006061898993497572,1,CFG_LL_TLB,task-clock,2089134480
128,100,10,52428,tiled,100000,0.3007882518043099,1,CFG_LL_TLB,L1-dcache-loads,2673831008
129,100,10,52428,tiled,100000,0.3007882518043099,1,CFG_LL_TLB,cache-misses,45566447
130,100,10,52428,tiled,100000,0.3007882518043099,1,CFG_LL_TLB,cache-references,85884379
131,100,10,52428,tiled,100000,0.3007882518043099,1,CFG_LL_TLB,context-switches,0
132,100,10,52428,tiled,100000,0.3007882518043099,1,CFG_LL_TLB,cpu-migrations,0
