,i,j,k,method,bs,r,sample,p,event,count
58,1024,64,800,tiled,1024,0.02015337685941733,0,CFG_LL_TLB,cache-references,104905861
59,1024,64,800,tiled,1024,0.02015337685941733,0,CFG_LL_TLB,context-switches,0
60,1024,64,800,tiled,1024,0.02015337685941733,0,CFG_LL_TLB,cpu-migrations,0
61,1024,64,800,tiled,1024,0.02015337685941733,0,CFG_LL_TLB,dTLB-load-misses,44528575
62,1024,64,800,tiled,1024,0.02015337685941733,0,CFG_LL_TLB,page-faults,0
63,1024,64,800,tiled,1024,0.02015337685941733,0,CFG_LL_TLB,task-clock,1819262804
64,1024,64,800,tiled,1024,0.0018233480008684403,0,CFG_LL_TLB,L1-dcache-loads,2674171810
65,1024,64,800,tiled,1024,0.0018233480008684403,0,CFG_LL_TLB,cache-misses,17400793
66,1024,64,800,tiled,1024,0.0018233480008684403,0,CFG_LL_TLB,cache-references,104816724
67,1024,64,800,tiled,1024,0.0018233480008684403,0,CFG_LL_TLB,context-switches,0
68,1024,64,800,tiled,1024,0.0018233480008684403,0,CFG_LL_TLB,cpu-migrations,0
69,1024,64,800,tiled,1024,0.0018233480008684403,0,CFG_LL_TLB,dTLB-load-misses,46621333
70,1024,64,800,tiled,1024,0.0018233480008684403,0,CFG_LL_TLB,page-faults,0
71,1024,64,800,tiled,1024,0.0018233480008684403,0,CFG_LL_TLB,task-clock,1829688371
72,1024,64,800,tiled,1024,0.09047357242349298,1,CFG_LL_TLB,L1-dcache-loads,2674170450
73,1024,64,800,tiled,1024,0.09047357242349298,1,CFG_LL_TLB,cache-misses,12207568
74,1024,64,800,tiled,1024,0.09047357242349298,1,CFG_LL_TLB,cache-references,104967029
75,1024,64,800,tiled,1024,0.09047357242349298,1,CFG_LL_TLB,context-switches,0
76,1024,64,800,tiled,1024,0.09047357242349298,1,CFG_LL_TLB,cpu-migrations,0
77,1024,64,800,tiled,1024,0.09047357242349298,1,CFG_LL_TLB,dTLB-load-misses,36270591
78,1024,64,800,tiled,1024,0.09047357242349298,1,CFG_LL_TLB,page-faults,0
79,1024,64,800,tiled,1024,0.09047357242349298,1,CFG_LL_TLB,task-clock,1620111102
80,1024,64,800,tiled,1024,0.011052951411260215,1,CFG_LL_TLB,L1-dcache-loads,2674217201
81,1024,64,800,tiled,1024,0.011052951411260215,1,CFG_LL_TLB,cache-misses,19773467
82,1024,64,800,tiled,1024,0.011052951411260215,1,CFG_LL_TLB,cache-references,104131406
83,1024,64,800,tiled,1024,0.011052951411260215,1,CFG_LL_TLB,context-switches,0
84,1024,64,800,tiled,1024,0.011052951411260215,1,CFG_LL_TLB,cpu-migrations,0
85,1024,64,800,tiled,1024,0.011052951411260215,1,CFG_LL_TLB,dTLB-load-misses,44418249
86,1024,64,800,tiled,1024,0.011052951411260215,1,CFG_LL_TLB,page-faults,0
87,1024,64,800,tiled,1024,0.011052951411260215,1,CFG_LL_TLB,task-clock,1841970451
88,1024,64,800,tiled,1024,0.0024620924014946257,1,CFG_LL_TLB,L1-dcache-loads,2674240340
89,1024,64,800,tiled,1024,0.0024620924014946257,1,CFG_LL_TLB,cache-misses,19821285
90,1024,64,800,tiled,1024,0.0024620924014946257,1,CFG_LL_TLB,cache-references,104117386
91,1024,64,800,tiled,1024,0.0024620924014946257,1,CFG_LL_TLB,context-switches,0
92,1024,64,800,tiled,1024,0.0024620924014946257,1,CFG_LL_TLB,cpu-migrations,0
93,1024,64,800,tiled,1024,0.0024620924014946257,1,CFG_LL_TLB,dTLB-load-misses,52890061
94,1024,64,800,tiled,1024,0.0024620924014946257,1,CFG_LL_TLB,page-faults,0
95,1024,64,800,tiled,1024,0.0024620924014946257,1,CFG_LL_TLB,task-clock,1862139219
96,1024,64,800,tiled,1024,0.004489251258218608,1,CFG_LL_TLB,L1-dcache-loads,2674243850
97,1024,64,800,tiled,1024,0.004489251258218608,1,CFG_LL_TLB,cache-misses,19395765
98,1024,64,800,tiled,1024,0.004489251258218608,1,CFG_LL_TLB,cache-references,104112464
99,1024,64,800,tiled,1024,0.004489251258218608,1,CFG_LL_TLB,context-switches,0
100,1024,64,800,tiled,1024,0.004489251258218608,1,CFG_LL_TLB,cpu-migrations,0
101,1024,64,800,tiled,1024,0.004489251258218608,1,CFG_LL_TLB,dTLB-load-misses,51006578
102,1024,64,800,tiled,1024,0.004489251258218608,1,CFG_LL_TLB,page-faults,0
103,1024,64,800,tiled,1024,0.004489251258218608,1,CFG_LL_TLB,task-clock,1835746833
104,1024,64,800,tiled,1024,0.09047357242349298,0,CFG_LL_TLB,L1-dcache-loads,2674125480
105,1024,64,800,tiled,1024,0.09047357242349298,0,CFG_LL_TLB,cache-misses,14081711
106,1024,64,800,tiled,1024,0.09047357242349298,0,CFG_LL_TLB,cache-references,104734623
107,1024,64,800,tiled,1024,0.09047357242349298,0,CFG_LL_TLB,context-switches,0
108,1024,64,800,tiled,1024,0.09047357242349298,0,CFG_LL_TLB,cpu-migrations,0
109,1024,64,800,tiled,1024,0.09047357242349298,0,CFG_LL_TLB,dTLB-load-misses,32932058
110,1024,64,800,tiled,1024,0.09047357242349298,0,CFG_LL_TLB,page-faults,0
111,1024,64,800,tiled,1024,0.09047357242349298,0,CFG_LL_TLB,task-clock,1650197397
112,1024,64,800,tiled,1024,0.008185467307069028,1,CFG_LL_TLB,L1-dcache-loads,2674226167
113,1024,64,800,tiled,1024,0.008185467307069028,1,CFG_LL_TLB,cache-misses,18524281
114,1024,64,800,tiled,1024,0.008185467307069028,1,CFG_LL_TLB,cache-references,104660803
115,1024,64,800,tiled,1024,0.008185467307069028,1,CFG_LL_TLB,context-switches,0
116,1024,64,800,tiled,1024,0.008185467307069028,1,CFG_LL_TLB,cpu-migrations,0
117,1024,64,800,tiled,1024,0.008185467307069028,1,CFG_LL_TLB,dTLB-load-misses,45000954
118,1024,64,800,tiled,1024,0.008185467307069028,1,CFG_LL_TLB,page-faults,0
119,1024,64,800,tiled,1024,0.008185467307069028,1,CFG_LL_TLB,task-clock,1819682805
120,1024,64,800,tiled,1024,0.16496480740980207,1,CFG_LL_TLB,L1-dcache-loads,2674143260
121,1024,64,800,tiled,1024,0.16496480740980207,1,CFG_LL_TLB,cache-misses,13260055
122,1024,64,800,tiled,1024,0.16496480740980207,1,CFG_LL_TLB,cache-references,104197052
123,1024,64,800,tiled,1024,0.16496480740980207,1,CFG_LL_TLB,context-switches,0
124,1024,64,800,tiled,1024,0.16496480740980207,1,CFG_LL_TLB,cpu-migrations,0
125,1024,64,800,tiled,1024,0.16496480740980207,1,CFG_LL_TLB,dTLB-load-misses,29967555
