,count,data_type,event,unk1,unk2,computed_value,computed_name,perf_time_start,arg.dataset,arg.dataset_path,arg.dataset_list,arg.data_format,arg.profile,arg.scenario,arg.max_batchsize,arg.model,arg.output,arg.inputs,arg.outputs,arg.backend,arg.model_name,arg.threads,arg.qps,arg.cache,arg.accuracy,arg.find_peak_performance,arg.debug,arg.mlperf_conf,arg.user_conf,arg.audit_conf,arg.time,arg.count,arg.performance_sample_count,arg.max_latency,arg.samples_per_query,arg.perf_events,hardware
0,1564210402,,L1-dcache-loads,1687858779,100,960.359,M/sec,"Thu Aug 11 12:20:38 2022
",coco-300,data/coco-300,None,NHWC,ssd-mobilenet-onnxruntime,Offline,32,models/ssd_mobilenet_v1_coco_2018_01_28.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/tf-cpu/resnet50,None,"['num_detections:0', 'detection_boxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-mobilenet,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
1,23801875,,L1-dcache-load-misses,1672160912,100,1.52,of all L1-dcache accesses,"Thu Aug 11 12:20:38 2022
",coco-300,data/coco-300,None,NHWC,ssd-mobilenet-onnxruntime,Offline,32,models/ssd_mobilenet_v1_coco_2018_01_28.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/tf-cpu/resnet50,None,"['num_detections:0', 'detection_boxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-mobilenet,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
2,836943,,dTLB-load-misses,1656532512,100,,,"Thu Aug 11 12:20:38 2022
",coco-300,data/coco-300,None,NHWC,ssd-mobilenet-onnxruntime,Offline,32,models/ssd_mobilenet_v1_coco_2018_01_28.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/tf-cpu/resnet50,None,"['num_detections:0', 'detection_boxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-mobilenet,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
3,836534,,dtlb_load_misses.miss_causes_a_walk,1641052865,100,513.596,K/sec,"Thu Aug 11 12:20:38 2022
",coco-300,data/coco-300,None,NHWC,ssd-mobilenet-onnxruntime,Offline,32,models/ssd_mobilenet_v1_coco_2018_01_28.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/tf-cpu/resnet50,None,"['num_detections:0', 'detection_boxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-mobilenet,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
4,1628.78,msec,task-clock,1628777103,100,1.625,CPUs utilized,"Thu Aug 11 12:20:38 2022
",coco-300,data/coco-300,None,NHWC,ssd-mobilenet-onnxruntime,Offline,32,models/ssd_mobilenet_v1_coco_2018_01_28.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/tf-cpu/resnet50,None,"['num_detections:0', 'detection_boxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-mobilenet,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
5,311,,context-switches,1619948480,100,190.941,/sec,"Thu Aug 11 12:20:38 2022
",coco-300,data/coco-300,None,NHWC,ssd-mobilenet-onnxruntime,Offline,32,models/ssd_mobilenet_v1_coco_2018_01_28.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/tf-cpu/resnet50,None,"['num_detections:0', 'detection_boxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-mobilenet,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
6,1,,cpu-migrations,1611154488,100,0.614,/sec,"Thu Aug 11 12:20:38 2022
",coco-300,data/coco-300,None,NHWC,ssd-mobilenet-onnxruntime,Offline,32,models/ssd_mobilenet_v1_coco_2018_01_28.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/tf-cpu/resnet50,None,"['num_detections:0', 'detection_boxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-mobilenet,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
7,28218,,page-faults,1602108295,100,17.325,K/sec,"Thu Aug 11 12:20:38 2022
",coco-300,data/coco-300,None,NHWC,ssd-mobilenet-onnxruntime,Offline,32,models/ssd_mobilenet_v1_coco_2018_01_28.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/tf-cpu/resnet50,None,"['num_detections:0', 'detection_boxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-mobilenet,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
0,389101144323,,cycles,146380064403,100,2.66,GHz,"Thu Aug 11 11:57:37 2022
",coco-1200-onnx,data/coco-1200,None,NCHW,ssd-resnet34-onnxruntime,Offline,1,models/ssd_resnet34_mAP_20.2.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/ssd-resnet34,['image:0'],"['detection_bboxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-resnet34,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"cycles,cache-references,cache-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
1,3094219777,,cache-references,146353464335,100,21.151,M/sec,"Thu Aug 11 11:57:37 2022
",coco-1200-onnx,data/coco-1200,None,NCHW,ssd-resnet34-onnxruntime,Offline,1,models/ssd_resnet34_mAP_20.2.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/ssd-resnet34,['image:0'],"['detection_bboxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-resnet34,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"cycles,cache-references,cache-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
2,293933528,,cache-misses,146329028448,100,9.499,of all cache refs,"Thu Aug 11 11:57:37 2022
",coco-1200-onnx,data/coco-1200,None,NCHW,ssd-resnet34-onnxruntime,Offline,1,models/ssd_resnet34_mAP_20.2.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/ssd-resnet34,['image:0'],"['detection_bboxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-resnet34,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"cycles,cache-references,cache-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
3,146293.14,msec,task-clock,146293142578,100,29.224,CPUs utilized,"Thu Aug 11 11:57:37 2022
",coco-1200-onnx,data/coco-1200,None,NCHW,ssd-resnet34-onnxruntime,Offline,1,models/ssd_resnet34_mAP_20.2.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/ssd-resnet34,['image:0'],"['detection_bboxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-resnet34,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"cycles,cache-references,cache-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
4,15660,,context-switches,146279497683,100,107.045,/sec,"Thu Aug 11 11:57:37 2022
",coco-1200-onnx,data/coco-1200,None,NCHW,ssd-resnet34-onnxruntime,Offline,1,models/ssd_resnet34_mAP_20.2.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/ssd-resnet34,['image:0'],"['detection_bboxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-resnet34,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"cycles,cache-references,cache-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
5,5,,cpu-migrations,146266285338,100,0.034,/sec,"Thu Aug 11 11:57:37 2022
",coco-1200-onnx,data/coco-1200,None,NCHW,ssd-resnet34-onnxruntime,Offline,1,models/ssd_resnet34_mAP_20.2.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/ssd-resnet34,['image:0'],"['detection_bboxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-resnet34,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"cycles,cache-references,cache-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
6,68479,,page-faults,146253357301,100,468.094,/sec,"Thu Aug 11 11:57:37 2022
",coco-1200-onnx,data/coco-1200,None,NCHW,ssd-resnet34-onnxruntime,Offline,1,models/ssd_resnet34_mAP_20.2.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/ssd-resnet34,['image:0'],"['detection_bboxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-resnet34,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"cycles,cache-references,cache-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
0,3610655204,,instructions,1154289552,100,,,"Thu Aug 11 12:12:55 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"instructions,branches,branch-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
1,453535878,,branches,1138110822,100,410.478,M/sec,"Thu Aug 11 12:12:55 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"instructions,branches,branch-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
2,848361,,branch-misses,1119774565,100,0.19,of all branches,"Thu Aug 11 12:12:55 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"instructions,branches,branch-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
3,1104.9,msec,task-clock,1104897163,100,1.103,CPUs utilized,"Thu Aug 11 12:12:55 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"instructions,branches,branch-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
4,303,,context-switches,1093309265,100,274.234,/sec,"Thu Aug 11 12:12:55 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"instructions,branches,branch-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
5,3,,cpu-migrations,1082728755,100,2.715,/sec,"Thu Aug 11 12:12:55 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"instructions,branches,branch-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
6,8927,,page-faults,1072112734,100,8.079,K/sec,"Thu Aug 11 12:12:55 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"instructions,branches,branch-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
0,4219743428,,instructions,1299789136,100,,,"Thu Aug 11 12:05:36 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"instructions,branches,branch-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
1,491311039,,branches,1282380210,100,393.886,M/sec,"Thu Aug 11 12:05:36 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"instructions,branches,branch-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
2,846042,,branch-misses,1263772312,100,0.17,of all branches,"Thu Aug 11 12:05:36 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"instructions,branches,branch-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
3,1247.34,msec,task-clock,1247344249,100,1.245,CPUs utilized,"Thu Aug 11 12:05:36 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"instructions,branches,branch-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
4,253,,context-switches,1237518410,100,202.831,/sec,"Thu Aug 11 12:05:36 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"instructions,branches,branch-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
5,0,,cpu-migrations,1227359462,100,0,/sec,"Thu Aug 11 12:05:36 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"instructions,branches,branch-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
6,8935,,page-faults,1216476164,100,7.163,K/sec,"Thu Aug 11 12:05:36 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"instructions,branches,branch-misses,task-clock,context-switches,cpu-migrations,page-faults",hummer
0,1180265807,,L1-dcache-loads,1154448844,100,1.085,G/sec,"Thu Aug 11 11:53:32 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
1,16832699,,L1-dcache-load-misses,1139018708,100,1.43,of all L1-dcache accesses,"Thu Aug 11 11:53:32 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
2,505661,,dTLB-load-misses,1122712549,100,,,"Thu Aug 11 11:53:32 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
3,500423,,dtlb_load_misses.miss_causes_a_walk,1104760781,100,460.155,K/sec,"Thu Aug 11 11:53:32 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
4,1087.51,msec,task-clock,1087509652,100,1.086,CPUs utilized,"Thu Aug 11 11:53:32 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
5,225,,context-switches,1076859410,100,206.895,/sec,"Thu Aug 11 11:53:32 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
6,2,,cpu-migrations,1066421527,100,1.839,/sec,"Thu Aug 11 11:53:32 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
7,8934,,page-faults,1055314301,100,8.215,K/sec,"Thu Aug 11 11:53:32 2022
",imagenet,data/imagenet/,None,None,resnet50-onnxruntime,Offline,32,models/resnet50_v1.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/resnet50,['input_tensor:0'],['ArgMax:0'],onnxruntime,resnet50,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
0,258825427691,,L1-dcache-loads,160312402425,100,1.618,G/sec,"Thu Aug 11 12:15:18 2022
",coco-1200-onnx,data/coco-1200,None,NCHW,ssd-resnet34-onnxruntime,Offline,1,models/ssd_resnet34_mAP_20.2.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/ssd-resnet34,['image:0'],"['detection_bboxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-resnet34,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
1,4544198263,,L1-dcache-load-misses,160268740638,100,1.76,of all L1-dcache accesses,"Thu Aug 11 12:15:18 2022
",coco-1200-onnx,data/coco-1200,None,NCHW,ssd-resnet34-onnxruntime,Offline,1,models/ssd_resnet34_mAP_20.2.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/ssd-resnet34,['image:0'],"['detection_bboxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-resnet34,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
2,13579793,,dTLB-load-misses,159985664260,100,,,"Thu Aug 11 12:15:18 2022
",coco-1200-onnx,data/coco-1200,None,NCHW,ssd-resnet34-onnxruntime,Offline,1,models/ssd_resnet34_mAP_20.2.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/ssd-resnet34,['image:0'],"['detection_bboxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-resnet34,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
3,13579609,,dtlb_load_misses.miss_causes_a_walk,159967739856,100,84.909,K/sec,"Thu Aug 11 12:15:18 2022
",coco-1200-onnx,data/coco-1200,None,NCHW,ssd-resnet34-onnxruntime,Offline,1,models/ssd_resnet34_mAP_20.2.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/ssd-resnet34,['image:0'],"['detection_bboxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-resnet34,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
4,159932.08,msec,task-clock,159932082267,100,31.948,CPUs utilized,"Thu Aug 11 12:15:18 2022
",coco-1200-onnx,data/coco-1200,None,NCHW,ssd-resnet34-onnxruntime,Offline,1,models/ssd_resnet34_mAP_20.2.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/ssd-resnet34,['image:0'],"['detection_bboxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-resnet34,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
5,18020,,context-switches,159920922271,100,112.673,/sec,"Thu Aug 11 12:15:18 2022
",coco-1200-onnx,data/coco-1200,None,NCHW,ssd-resnet34-onnxruntime,Offline,1,models/ssd_resnet34_mAP_20.2.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/ssd-resnet34,['image:0'],"['detection_bboxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-resnet34,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
6,9,,cpu-migrations,159908645195,100,0.056,/sec,"Thu Aug 11 12:15:18 2022
",coco-1200-onnx,data/coco-1200,None,NCHW,ssd-resnet34-onnxruntime,Offline,1,models/ssd_resnet34_mAP_20.2.onnx,/home/apuckhaber3/git/inference/vision/classification_and_detection/output/onnxruntime-cpu/ssd-resnet34,['image:0'],"['detection_bboxes:0', 'detection_scores:0', 'detection_classes:0']",onnxruntime,ssd-resnet34,1,None,0,False,False,False,../../mlperf.conf,user.conf,audit.config,10,8,None,0.2,8,"L1-dcache-loads,L1-dcache-load-misses,dTLB-load-misses,dtlb_load_misses.miss_causes_a_walk,task-clock,context-switches,cpu-migrations,page-faults",hummer
